Judul,Content,Category
Bupati Galang Bantuan Palestina Terkumpul Rp 5 M,"SIDOARJO (RadarJatim.id) —  Bupati Sidoarjo Ahmad Muhdlor bersama Majelis Sholawat Ahbabul Musthofa dan ribuan warga Sidoarjo telah menggelar Gebyar Sholawat dan Tahlil Akbar sebagai bentuk solidaritas terhadap Palestina, pada Sabtu (25/11/2023) malam di Parkir Timur Gor Delta Sidoarjo. Gebyar Sholawat dan Tahlil Akbar bertajuk ‘Langitkan Doa untuk Saudara Kita Di Palestina’ yang berlangsung khidmat tersebut diprakarsai oleh Pemerintahan Kabupaten Sidoarjo, Baznas Kabupaten Sidoarjo, PCNU Sidoarjo dan Lintang Songo Foundation, juga penggalangan dana  sebagai upaya membantu warga Palestina. Bupati yang akrab disapa Gus Muhdlor, mengajak seluruh masyarakat untuk terus memanjaatkan doa untuk rakyat Palestina. Melalui doa yang dipanjatkan akan menjadi jembatan kepada Allah SWT, dengan harapan rakyat Palestina diberikan pertolongan dan perlindungan dari konflik yang sedang terjadi. “Solidaritas kita kepada saudara muslim kita di Palestina, bukan hanya berkata dengan agama, tetapi jauh dari itu tema pada saat ini adalah kemanusiaan. Wajib bagi kita untuk memberikan doa dengan harapan semoga cobaan yang dialami akan segera diangkat oleh Allah SWT dan dapat hidup dengan damai,” ucapnya. Bupati Sidoarjo berharap selain bantuan berupa doa, juga sumbangsih warga Sidoarjo berbentuk supporting, moril dan materiil sangat dibutuhkan untuk saudara kita di Palestina. “Meskipun kita tidak bisa membantu datang langsung kesana, setidaknya doa dan bantuan moril serta materiil dapat memberikan keringanan bagi rakyat Palestina. Alhamdulillah sudah terkumpul dana sebanyak Rp 5 miliar yang terhimpun oleh Baznas Sidoarjo. Semoga semua amalan kita dicatat oleh Allah SWT,” harapnya. Pada acara tersebut hadir juga Ketua DPRD Kabupaten Sidoarjo Usman, Ketua PCNU Sidoarjo Zaenal Abidin, Ketua Baznas Kabupaten Sidoarjo, Seluruh Kepala OPD yang terkait dan Ketua Lintang Songo Foundation.(mad)",Religi
"Spirit Hari Pahlawan, Nurul Hayat Gelar Silaturahmi Akbar Guru Quran dan Galang Dana untuk Rakyat Palestina","GRESIK (RadarJatim.id) — Momentum Hari Pahlawan 10 November 2023, Yayasan Nurul Hayat (NH) Gresik mengadakan 2 kegiatan sekaligus. Keduanya, yakni Silaturahmi Akbar 1000 Guru Quran dan Berkisah, dilanjut penggalangan dana untuk rakyat Palestina, Jumat (10/11/2023). Hadir dalam acara tersebut, KH Abdullah Munif, mewakili Majelis Ulama Indonesia (MUI) Kabupaten Gresik dan KH Munhamir Mukhlis, selaku Ketua Takmir Masjid Agung Maulana Malik Ibrahim Gresik. Dalam kegiatan tersebut, 1.000 guru dengan penuh semangat hadir dalam kegiatan Silaturahmi Akbar dan Pembinaan guru Quran yang tergabung di Program Insentif Bulanan Guru Al-Quran (IBUQU) yang diisi pembinaan dan ceramah agama oleh Dr Shobikhul Qisom, MPd. Di tempat terpisah, di Yayasan Islam Sunan Giri juga ada kegiatan Berkisah dan Galang Dana untuk Rakyat Palestina. “Alhamdulillah terkumpul 8 juta rupiah,” ujar Kepala Cabang NH Gresik Sholihul Amin, Jumat (10/11/2023). Lebih lanjut Cak Amin, sapaan akrab Kacab NH Gresik ini, menandaskan, kejahatan kemanusiaan masih terus berlangsung di Palestina. Tidak hanya rumah, rumah sakit dan sekolah menjadi sasaran kebiadaban Israel, namun ribuan nyawa pun melayang. Update korban tewas mencapai 10.500 jiwa dan 4.500 diantaranya anak-anak. Dukungan dari rakyat Indonesia terus meningkat, doa dan harapan dari muslim seluruh dunia, semoga perang ini segera berakhir. Alhamdulillah donasi yang terkumpul dari para guru sebesar 30.214.000,” ucap Cak Amin. “Kami haturkan terima kasih sebanyak-banyaknya kepada Yayasan Islam Sunan Giri dan Para Guru Al-Quran atas donasi yang diamanahkan. Semoga Allah SWT melimpahkan keberkahan untuk kita semua. Aamin,” imbuhnya. (sto)",Religi
Implementasikan P5 Siswa SMA YPM 2 Sukodono Observasi Antar Agama,"SIDOARJO (RadarJatim.id.) — Siswa dan siswi kelas XI SMA YPM 2 Sukodono melakukan studi observasi ke Desa Wonomelati-Krembung, Sidoarjo dengan tujuan untuk mengeksplorasi moderasi beragama. Akan dituangkan dalam bentuk buku ‘Beda Agama, Beda Cara, Satu Suara Indonesia Raya’. Antar umat Islam, Kristen dan Hindu dalam satu lingkungan dengan tiga tempat ibadah yang berbeda namun tetap hidup rukun. Dilakukan di tiga tempat ibadah yang berbeda yakni Masjid Darussalam, Gereja Kristen Jawi Wetan dan Pura Penataran Agung Margowening di Krembung-Sidoarjo, pada (7/11/2023). Kegiatan tersebut merupakan bentuk mengimplementasi Kurikulum Merdeka bertemakan ‘Bhineka Tunggal Ika’ dibalut dengan unsur toleransi serta kepedulian sosial terhadap sesama manusia meski berbeda agama. “Kita sangat bersemangat untuk mengikuti outing ini, karena menambah wawasan, ilmu dan pengalaman baru yang berbeda dan yang mengajarkan kepada kita terkait toleransi beragama dan bermasyarakat,” ujar salah satu siswi saat mengikuti kegiatan tersebut. Kehadiran mereka disambut hangat dan ramah oleh Kepala Desa Hj. Solikatin beserta perangkat desanya. Kegiatan outing ini merupakan pertama kalinya dan SMA YPM 2 Sukodono menjadi yang pertama melaksanakan outing seperti ini. “Kami sangat mengapresiasi dan senang dalam menyambut kegiatan ini, semoga kontribusi kami dapat bermanfaat bagi adik-adik peserta didik SMA YPM 2 Sukodono,” ujar Solikatin. Kepala Sekolah H. Moh. Fauzi, S,Ag.M.Pd.I berharap buku karya siswa dan siswi ini nantika akan dapat memberikan kontribusi untuk pihak sekolah dan desa. “Sebagai pedoman serta tambahan bahan baca untuk masyarakat,” harap Moh. Fauzi.(mad)",Pendidikan
MI Ma’arif Pagerwojo Shalat Ghaib untuk Rakyat Palestina,"SIDOARJO (RadarJatim.id) — MI Ma’arif Pagerwojo menggelar shalat ghaib untuk ribuan korban rakyat Palestina atas serangan Israel. Shalat diikuti pada Selasa (7/11/2023), di Masjid Jami’ Al-Muttaqin Desa Pagerwojo Buduran Sidoarjo. Kepala Madrasah Ibtidaiyah Ma’arif Pagerwojo H.M. Qosim menuturkan kalau kegiatan ini dalam rangka mengikuti  instruksi Menteri Agama Republik Indonesia H. Yaqut Cholil Qoumas, yang kemudian diteruskan Kakanwil Kemenag Provinsi Jawa Timur agar menyelenggarakan shalat ghaib untuk korban Palestina. Siswa-siswi yang melaksanakan mulai dari kelas 4 sampai 6 yang berjumlah 450 anak, mereka dengan khusyu’ mengikuti shalat ghaib. Mereka juga didampingi para dewan guru masing-masing saat melaksanakan shalat ghaib berjamaah seusai shalat Dzuhur berjamaah.“Kegiatan ini diadakan untuk menumbuhkan rasa simpati dan empati atas bencana kemanusiaan yang ada di Palestina. Apalagi yang menjadi korban adalah saudara kita sesama muslim. Banyak anak-anak Palestina seusia kalian meninggal terkena bom atau rudal dari tentara Israel, selain orang-orang dewasa yang ada disana. Kita doakan semoga semoga saudara kita warga Palestina yang meninggal dunia khusnul khotimah dan syahid,” tutur Kepala Madrasah sebelum memulai shalat ghaib. Suasana penuh haru saat Kepala Madrasah H. M. Qosim menceritakan bagaimana keadaan anak-anak disana, mereka sangat kesulitan makan hanya bisa bertahan dengan makan roti satu potong untuk satu hari karena bantuan makanan dari dalam negeri maupun negara lain tidak bisa masuk. Mereka sulit berobat karena rumah sakit telah dihancurkan, mereka juga sudah tidak bisa menuntut ilmu karena gedung-gedung sekolah bahkan universitas telah luluh lantak.“Semoga doa-doa yang kita panjatkan kepada Allah bisa memberikan kekuatan dan keselamatan untuk warga Palestina dan para syuhada yang telah wafat, ” seru Qosim.(mad)",Pendidikan
MI Al Abror Kauman Shalat Ghoib dan Doa Bersama Untuk Pejuang Palestina,"SIDOARJO (RadarJatim.id) — Shalat Ghoib dan doa bersama untuk kepedulian warga dan pejuang Palestina terus dilakukan dari berbagai kalangan. Sekaligus memberikan pelajaran  dan pengalaman bagi para siswa. Termasuk MI Al Abror Kauman Sidoarjo juga menggerakkan seluruh siswanya untuk  melaksanakan shalat ghoib dan doa bersama-sama, pada Selasa (7/11/2023) pagi. Kepala MI Al Abror Kauman Sidoarjo, Aulia Rahmayanti, S.Pd menuturkan dengan diadakannya sholat ghoib ini bertujuan untuk mendoakan para Pejuang Palestina yang sudah gugur mempertahankan negaranya. “Disamping itu juga, secara langsung mengajarkan kepada peserta didik cara sholat ghoib. Karena mereka mereka baru melakukan sholat goib untuk pertama kalinya. Pelajaran dan pengalaman yang bermanfaat,” tuturnya. “Sholat goib ini dilakukan, juga sebagai salah satu langkah pembentukan karakter siswa agar bisa meningkatkan keimanannya,” katanya. Ia jelaskan, kalau Shalat ghoib diikuti semua siswa kelas 1 sampai 6. “Selain itu juga membuka open donasi untuk saudara-saudara kita yang berada di Palestina sebagai bentuk rasa empati terhadap saudara muslim dan nantinya akan disalurkan melalui LAZIZNU,” pungkas ustadzah Aulia.(mad)",Pendidikan
Siswa MTs dan MA  NU Sholat Ghaib Buat Syuhada Palestina,"SIDOARJO (RadarJatim.id) — Terkait tragedi Kemanusiaan yang ada Palestina yang semakin tidak terkendali. Ratusan siswa- siswi MTs dan MA NU Sidoarjo telah melaksanakan salat ghaib, serta memanjatkan doa yang dikhususkan kepada korban meninggal konflik di jalur Gaza Palestina. Mereka juga didampingi para dewan guru masing-masing melaksanakam shalat ghoib berjamaah di Masjid Nurul Anwar BCF (Bumi Citra Fajar) Sidoarjo usai sholat Dzuhur berjamaah. “Kami melaksanakan salat ghaib,  bagi syuhada korban konflik Palestina. Ini merupakan bentuk kepedulian, empati sekaligus solidaritas, dan dukungan dari umat Muslim secara luas,” kata Kepala MA NU Sidoarjo M Baidlowi MPd, pada (7/11/2023) siang. Ia jelaskan lebih lanjut, bahwa Sholat Ghaib ini juga menjadi momen berharga untuk mengajarkan kepada siswa MTs dan MA NU  Sidoarjo tentang pentingnya perdamaian, solidaritas, dan kepedulian terhadap saudara-saudara seiman di seluruh dunia. “Semoga tindakan ini dapat menjadi contoh bagi masyarakat lainnya, untuk bersatu dalam upaya-upaya kemanusiaan dan perdamaian global. Sebagai bagian dari upaya memohon pertolongan Allah, agar bencana kemanusiaan di Palestina segera berhenti,” doa Pak Baidlowi_sapaan akrabnya. Tampak suasana  khusyuk dan penuh haru mengiringi doa- doa para syuhada Palestina, yang di pimpin langsung oleh Drs.  Kyai Muzakki sekaligus imam sholat Ghaib ketika mengekspresikan simpati dan dukungan kepada saudara-saudara seiman mereka di Palestina, sedang mengalami berbagai kesulitan akibat konflik yang berlarut-larut. Mereka berdoa agar Allah SWT memberikan perlindungan, kekuatan, dan keselamatan kepada mereka, serta menghendaki perdamaian yang sangat dibutuhkan oleh rakyat Palestina. Kepala MTs NU Sidoarjo,  Fathoni jug menambahkan kalau MTs_Aliyah NU Sidoarjo juga  menyerukan kepada bangsa-bangsa di dunia untuk menghormati hak dan martabat manusia, demi terwujudnya kemanusiaan dan masyarakat internasional yang stabil dan harmonis. Ia katakan, shalat ghoib ini juga berdasarkan perintah Kakanwil Kemenag Prov. Jatim, meneruskan perintah Menteri Agama, memohon  kepada Kepala Madrasah agar menggerakkan guru dan siswanya melaksanakan sholat Ghoib untuk Syuhada Palestina.(mad)",Pendidikan
Santri Putri PP Jabal Nur Juara I  Duta Santri Pelajar NU 2023,"SIDOARJO (RadarJatim.id) — Pemilihan Duta Santri Pelajar NU Sidoarjo 2023, yang merupakan rangkaian puncak peringatan Hari Santri Nasional 2023. Pada Grand Final telah dibuka langsung oleh Bupati Sidoarjo Ahmad Muhdlor Ali beserta Istrinya Hj. Sa’adah Ahmad Muhdlor/Ning Shasa, pada (4/11/2023) malam. Setelah dilakukan penilaian oleh tim juri, pemenangnya adalah; Ketegori Putri Juara 1 : Siti Maulidatur Rohmaniyah (PP Jabal Nur MWCNU Taman), Juara 2 : Sayyidah Fatimatuz Zahro (PP Al Mubarokah MWCNU Porong) Juara 3 : Maulida Fitri Fi Ardilla (PP Darul Hafidin MWCNU Wonoayu) Best Favorit : Aininna Halizah (PP Roudhatul Ulum MWCNU Sidoarjo kota) Kategori Putra Juara 1 :  M.Thufail Al Amin (PP Salafiyah Giri Ketawang MWCNU Sukodono) Juara 2 : M. Thoifur Romli Rozani (PP Al Hidayah MWCNU Waru) Juara 3 : Achmad Syahrul Mauludi (PP Mambaul Hikam MWCNU Tanggulangin) Best Favorit : Riski Wahyu Saputra (PP Darul Ulum MWCNU Tulangan) Bupati Sidoarjo Ahmad Muhdlor  berpesan agar Duta Santri yang terpilih mampu berkontribusi dan memberikan dampak positif bagi Kabupaten Sidoarjo.  “Ajang Duta Santri ini jangan hanya jadi ceremonial belaka, lalu hilang. Namun, jadikan sebagai ajang yang mampu menumbuhkan santri-santri berkontribusi positif bagi pembangunan dan kemajuan Kabupaten Sidoarjo,” pesannya. Ia juga berharap santri-santri di Kabupaten Sidoarjo menjadi garda terdepan dengan memiliki program-program yang baik untuk generasi millenial menuju Generasi Emas tahun 2045. “Duta Santri yang terpilih harus memiliki visi misi dan program-program yang baik untuk mempengaruhi dan menumbuhkan generasi santri millenial menuju Generasi Emas 2045,” harap Bupati Muhdlor. Proses penjurian pada acara tersebut memiliki 2 tahapan, yang pertama penilaian catwalk yang mendasari kelincahan, keluwesan dan keserasian gerakan para peserta. Dan yang kedua, adalah metode Question and Answer (QnA) yang mencakup kepribadian, keislaman, wawasan bangsa dan mencakup visi misi kontribusi. Ada 5 dewan juri pada acara Grand Final Duta Santri Sidoarjo 2023, Ketua Tim Penggerak PKK Kabupaten Sidoarjo sekaligus istri Bupati Sidoarjo Hj. Sa’adah Ahmad Muhdlor, Miss Tourism Queen International Park Revinda Carina, PC RMI (Pengurus Cabang Rabithah Ma’ahid Islamiyah) Sidoarjo Agus Arifuddin, Wakil Sekretaris PCNU Sidoarjo Abdul Mujib dan Ketua LPNU Sidoarjo M. Roni Yudianto.(mad)",Pendidikan
"Bahas Isu Strategis Dakwah Kampus, UNIDA Gontor Gandeng UKKI Unesa","SURABAYA (RadarJatim.id) — Di tengah lesunya pola dakwah kampus, Universitas Darussalam Gontor menggandeng Unit Kegiatan Kerohanian Islam (UKKI) Unesa untuk mengupas tuntas 3 isu strategis dakwah kampus, Rabu (1/11/2023). Bertempat di Ruang Pertemuan LPPM Unesa, isu tersebut dikupas melalui kegiatan bertajuk “Seminar Pemikiran dan Peradaban Islam”. “Kegiatan seminar diberlakukan sebagai upaya mengatasi kelesuan dalam berdakwah, terutama di area kampus. Bisa kita lihat telah terjadi pengikisan fundamental nilai-nilai Islam dalam diri mahasiswa yang mempengaruhi pemikiran akibat peradaban Barat yang kurang terfiltrasi. Dengan begitu akan menimbulkan kejumudan berpikir hingga berujung terciptanya ekstrimisme beragama,” tutur Salsabily Haudlillah, Ketua Pelaksana, Kamis (2/11/2023). Ditegaskan, kegiatan tersebut diadakan sebagai alarm para lembaga dakwah kampus agar menjadi garda terdepan menghalau pola pemikiran yang menyimpang dari ajaran Islam. Mengingat lembaga dakwah kampus berperan sebagai promotor dan eksekutor dalam menegakkan amar ma’ruf nahi munkar. Hal senada diungkapkan Prof Turhan Yani, Pembina UKKI Unesa. Menurutnya, peradaban islam dipengaruhi oleh SDM yang berkualitas. Sebab, SDM tersebut akan melanjutkan tonggak estafet peradaban dan mensyiarkan ajaran islam. “Menjadi aktivis organisasi Islam di dunia perkuliahan diperlukan. Alasan tersebut diperlukan untuk meneruskan embrio peradaban Islam seperti, Nur Kholis Majid, Gus dur. Dengan begitu syiar agama tidak terputus, terbentuknya pribadi berkarakter dan berakhlak melalui seruan dakwah yang dilakukan,” lanjutnya. Peserta “Seminar Pemikiran dan Peradaban Islam” tidak hanya dari kampus UNIDA Gontor dan UKKI Unesa, tapi juga sejumlah kampus di Jatim. Di antaranya, UKKI Narotama, PGRI Adi Buana, W.R. Supratman, dan Dr Soetomo sebagai mitra UKKI Unesa. Dalam seminar tersebut terdapat tiga pemateri yang membawakan materi berbeda-beda, namun saling berkaitan. Nur Fadhilah dari UIN Sultan Aji Muhammad Idris Samarinda, Andi Ichsan Adiwisastera dari UIN Alauddin Makassar, dan Wahidya Difta dari Universitas Gadjah Mada. Nur Fadhilah menyampaikan terkait problem konsep diri dan krisis identitas remaja. Ia mencoba mengkritisi fenomena banyaknya remaja yang mencoba mengakhiri problematika dunia dengan sikap menyimpang. “Banyak temuan perilaku remaja yang menyimpang seperti bunuh diri dan pesta narkoba dengan dalih untuk mengekspresikan diri. Hal ini merujuk pendapat Eri Erikson, bahwa pada masa remaja anak akan mengalami kebingungan dan kehilangan arah sehingga memicu ketidaksesuaian dalam bertindak,” ujarnya. Andi Ichsan Adiwisastera menyoroti fenomena selubung pluralisme agama dalam isu toleransi beragama di Indonesia. Indonesia sebagai negara majemuk terdiri atas berbagai suku, ras, budaya dan agama. Dengan begitu dibutuhkan sikap toleransi dalam antarindividu. “Jika kita menyinggung toleransi beragama tidak mesti bermakna pluralisme agama, sehingga dalam peranannya toleransi beragama cukup memahami dan membiarkan tanpa membenarkannya,” terangnya. Sementara Wahidya Difta memberikan tips dalam menghadapi tantangan budaya populer dalam dunia dakwah kampus di era kontemporer. Sebagai contoh MBKM-MSIB yang mendorong pendidikan ke arah Pragmatis-Materealistik yang diliputi nilai-nilai Neoliberalisme. “Dalam mengelola manajemen dahwah kampus, perlu memperhatikan tiga hal, yaitu, pertama melestarikan budaya keilmuan, seperti membaca, menulis, dan berdiskusi dengan melibatkan kaca mata islam. Kedua, responsivitas dan adaptabilitas sehingga menjawab kebutuhan umat. Ketiga, sinergi dan kolektivitas guna mensukseskan tujuan dakwah,” pungkasnya. (red) Kontributor: Miftahul Afifur Rohman.",Religi
YPIT Insan Kamil Gelar Salat Istisqa dan Salat Goib Serta Doakan Syuhada Yang Gugur di Palestina,"SIDOARJO (Radarjatim.id) — Ratusan siswa SDIT dan SMPIT Insan Kamil Sidoarjo berkumpul di lapangan SMPIT Insan Kamil melaksanakan Salat Goib dan Salat Istisqo, Selasa, 31 Oktober 2023. Kegiatan tersebut bertujuan untuk mendoakan para syuhada yang telah meninggal dunia di Palestina. Selain itu, memohon diturunkan hujan, karena sudah sekian lama tidak turun hujan akibat kemarau yang berkepanjangan. “Ini adalah bentuk sebuah kepedulian terhadap warga Palestina yang menghadapi tragedi kemanusiaan,” ungkap Ustad Choirul, Direktur YPIT Insan Kamil Sidoarjo. Ia menambahkan bahwa salat Istisqo ini salah satu bentuk ikhtiar menghadapi kemarau. Kegiatan dimulai mengajak siswa-siswi untuk berzikir kepada Allah, istighfar, dan menyeru kepada Allah SWT.Dilanjutkan dengan orasi dari Ustad Oktav Fauzi. Beliau menyampaikan tentang keadaan yang terjadi saat ini di Palestina. Selain itu, menjelaskan tata cara salat goib dan salat Istisqo. “Aku senang bisa salat goib dan Istisqo. Ini kali pertama melaksanakan Salat tersebut,” ungkap Kenzi,” salah satu Siswa SMPIT Insan Kamil Sidoarjo. Ia berharap Palestina segera dibebaskan dari penderitaan yang saat ini tengah terjadi. Selain itu, kemarau di negeri ini segera berakhir dan hujan seger turun.(mad)",Pendidikan
Ribuan Siswa SMK Antartika 2 Sidoarjo Dzikir Bareng Habib Anis Syahab,"SIDOARJO (RadarJatim.id) — Bertepatan dengan Peringatan HSN (Hari Santri Nasional) 2023 sekaligus Hari Sumpah Pemuda ke 95 tahun 2023. Keluarga Besar SMK Antartika 2 Buduran Sidoarjo, mulai dari ribuan siswanya, guru dan karyawan menggelar dzikir, bersholawat bersama dan doa bersama-sama, pada Senin (30/10/2023) pagi. Sholawatan yang bertemakan ‘SMART2 Bersholawat, Cinta Rosul Membentuk Akhlaq Mulia’ pihak SMK Antartika 2 Buduran Sidoarjo menghadirkan Habib Anis Syahab dari Jakarta. Hadir pula jajaran pengurus Wahyuhana Surabaya yang menaungi SMK Antartika 2, juga Kepala Desa Siwalanpanji dan jajaran terkait lainnya. Waka Kesiswaan SMK Antartika 2 Sidoarjo Akhmad Munir, S.Pd MM menuturkan yang terlibat dalam sholawat bersama ini adalah segenap warga SMK Antarika 2 Buduran mulai siswa kelas X, XI, XII, Bapak, Ibu Guru dan Karyawan yang Muslim semua mengikuti kegiatan Zikir Bersama di Lapangan Sekolah. Zikir bersama Ulama dan Habib merupakan aktivitas rutin dalam tiap tahun yang diselenggarakan oleh MGMP (Musyawarah Guru Mata Pelajaran) Pendidikan Agama Islam di sekolah, sekaligus memperingati Hari Santri Nasional, juga Hari Sumpah Pemuda. “Selain itu sebagai wujud implementasi dari Misi Sekolah yang pertama, yakni Menyelenggarakan Kegiatan Peningkatan Iman dan Takwa yang bertujuan memiliki karakter yang baik,” tuturnya. “Segala hal yang terjadi sudah ketentuan dari Allah SWT, kita harus berusaha maksimal dan ikhtiar harapkan hasilnya. Namun, semua itu merupakan yang terbaik dari Allah SWT dan mendapatkan syafaat dari Nabi Besar Muhammad SAW,” harapnya. “Kami berharap para siswa yang yang mengikuti majlis dzikir ini sukses dalam hal Imtaq dan Ipteknya. Doa dan pengharapan, semoga kegiatan yang diikuti siswa-siswi sekolah ini bisa lancar, mudah dan sukses kedepannya,” doanya.(mad)",Pendidikan
